GLOBAL LIQUIDITY RANKING REPORT
================================================================================================================
Rank  Car Name                                                         Volume       Mean Price         CV  Liquidity
 250  بیجینگ / U5 پلاس / 1.5 لیتر                                          27    3,896,740,741     0.2136     2.3139
 251  جک / S5 / 2.0 لیتر دنده ای                                           25    2,549,600,000     0.1062     2.3124
 252  هیوندای / النترا / 2.0 لیتر                                          25    6,381,600,000     0.1181     2.3076
 253  تویوتا / پرادو  چهار در / 2.4 لیتر توربو                             25   43,384,000,000     0.1480     2.2957
 254  پژو / روآ / ساده                                                     25      380,000,000     0.1530     2.2937
 255  کیا / سورنتو / 6 سیلندر                                              27    5,873,333,333     0.2706     2.2911
 256  هایما / S7 / 1.8 لیتر توربو                                          23    3,385,434,783     0.0671     2.2800
 257  آئودی / Q4 e-tron / 40                                               25    9,455,600,000     0.1889     2.2793
 258  ام جی / GT / اتوماتیک                                                24    6,149,875,000     0.1379     2.2762
 259  نیسان / سیلفی / 1.6 لیتر Enjoy                                       22    6,410,909,091     0.0458     2.2630
 260  ام وی ام / 110 / 4 سیلندر دنده ای                                    24      575,291,667     0.1777     2.2602
 261  هیوندای / ولستر / اتوماتیک                                           23    4,420,434,783     0.1278     2.2557
 262  لکسوس / NX هیبرید / 300h fsport                                      22   13,863,181,818     0.0655     2.2551
 263  تیگارد / X35 / اتوماتیک                                              22    3,505,909,091     0.0669     2.2546
 264  چری / تیگو 5 / IE                                                    22    2,953,181,818     0.0676     2.2542
 265  آئودی / A3L / 1.5 لیتر توربو                                         22   10,596,818,182     0.0820     2.2485
 266  پیش فروش کی ام سی / T9 / 2 لیتر توربو                                21    1,988,095,238     0.0268     2.2439
 267  اطلس / دنده ای / تیپ GL                                              23    1,524,826,087     0.1649     2.2409
 268  تویوتا / اف جی کروز / اتوماتیک                                       22   17,847,272,727     0.1171     2.2344
 269  هیوندای / توسان / 2.7 لیتر                                           21    3,469,523,810     0.0720     2.2258
 270  پراید / 141 / ساده                                                   22      375,818,182     0.1762     2.2108
 271  فونیکس / تیگو 8 پرو مکس (F8 PRO MAX) / اکسلنت                        20    6,521,000,000     0.0444     2.2089
 272  کیا / موهاوی / 8 سیلندر                                              21    7,200,952,381     0.1182     2.2073
 273  اشکودا / کاروک / 1.4 لیتر توربو                                      20    6,682,500,000     0.0561     2.2043
 274  آلفارومئو / جولیتا / اتوماتیک                                        21    4,543,809,524     0.1353     2.2005
 275  کیا / اسپورتیج / 6 سیلندر                                            20    3,401,250,000     0.0685     2.1993
 276  نیسان / جوک / اسپرت                                                  20    5,904,500,000     0.0770     2.1959
 277  ام جی / 5 / 1.5 لیتر                                                 20    4,054,950,000     0.1020     2.1859
 278  ام وی ام / 530 / دنده ای                                             20      965,250,000     0.1130     2.1815
 279  مزدا / CX-30 / 2.0 لیتر                                              19    8,448,947,368     0.0410     2.1810
 280  سیتروئن / C3 XR / تیپ V1                                             19    3,971,052,632     0.0441     2.1798
 281  ام وی ام / X22 / دنده ای اسپرت لاکچری                                19    2,105,526,316     0.0444     2.1797
